0,56
1,66
2,61
3,60
4,58
5,77
6,65
7,74
8,69
9,61
10,62
11,73
12,68
13,68
14,64
15,67
16,61
17,63
18,65
19,66
20,72
21,64
22,60
23,67
24,59
25,73
26,72
27,62
28,64
29,72
30,63
31,62
32,65
33,70
34,74
35,63
0,67
1,60
2,67
3,67
4,66
5,68
6,65
7,59
8,66
9,58
10,57
11,62
12,65
13,69
14,64
15,60
16,62
17,61
18,64
0,69
1,60
2,61
3,59
4,66
5,62
6,56
7,71
8,61
9,66
10,66
11,67
12,67
13,58
14,71
15,69
16,62
17,64
18,70
19,68
20,67
21,71
22,61
23,68
24,66
25,73
26,66
27,63
28,81
29,68
30,75
31,66
32,76
33,66
34,63
35,60
36,69
37,63
38,70
39,58
40,67
41,62
42,62
43,65
44,71
45,74
46,65
47,74
48,79
49,72
50,61
51,66
52,65
53,69
54,61
55,70
56,64
57,58
58,58
59,71
60,67
61,57
62,75
63,65
64,70
65,63
66,64
67,67
68,68
69,69
70,68
71,67
72,56
73,68
74,62
75,66
76,63
77,56
78,65
79,61
80,60
81,74
82,65
83,73
84,62
85,60
86,69
87,68
88,67
89,57
90,69
91,66
92,72
93,69
94,72
95,74
96,68
97,69
98,70
99,71
100,58
101,70
102,63
103,62
104,60
105,63
106,65
107,63
108,69
109,69
110,67
111,66
112,57
113,68
114,69
115,67
116,68
117,70
118,67
119,61
120,65
121,59
122,66
123,70
124,70
125,52
126,68
127,68
128,67
129,68
130,70
131,64
132,69
133,63
134,64
135,57
136,65
137,61
138,63
139,55
140,59
141,66
142,71
143,72
144,60
145,71
146,61
147,59
148,66
149,71
150,56
151,67
152,61
153,68
154,66
155,69
156,64
157,66
158,70
159,66
160,73
161,75
162,67
163,65
164,62
165,69
166,64
167,69
168,63
169,74
170,69
171,70
172,66
173,66
174,70
175,64
176,60
177,64
178,71
179,71
180,67
181,63
182,71
183,67
184,68
185,66
186,70
187,64
188,68
189,67
190,73
191,62
192,74
193,56
194,59
195,73
196,67
197,71
198,62
199,64
200,68
201,63
202,60
203,65
204,66
205,73
206,61
207,59
208,71
209,72
210,59
211,61
212,67
213,60
214,67
215,63
216,66
217,63
218,58
219,68
220,58
221,65
222,57
223,66
224,63
225,64
226,67
227,71
228,55
229,54
230,61
231,59
232,66
233,70
234,65
235,61
236,63
237,62
238,71
239,63
240,71
241,57
242,59
243,66
244,60
245,56
246,62
247,64
248,61
249,64
250,62
251,65
252,60
253,53
254,75
255,74
256,65
257,67
258,66
259,59
260,72
261,76
262,64
263,68
264,66
265,73
266,64
267,74
268,58
269,68
270,64
271,71
272,67
273,57
274,63
275,57
276,65
277,64
278,66
279,72
280,64
281,58
282,63
283,63
284,68
285,66
286,70
287,69
288,66
289,74
290,67
291,67
292,76
293,63
294,66
295,65
296,68
297,68
298,66
299,64
300,67
301,69
302,72
303,65
304,60
305,61
306,68
307,67
308,64
309,69
310,57
311,61
312,56
313,66
314,65
315,68
316,67
317,69
318,63
319,69
320,68
321,61
322,61
323,70
324,62
325,65
326,64
327,62
328,63
329,69
330,70
331,74
332,67
333,69
334,66
335,69
336,74
337,62
338,62
339,72
340,64
341,69
342,66
343,69
344,75
345,60
346,67
347,77
348,63
349,61
350,66
351,70
352,64
353,58
354,67
355,62
356,76
357,66
358,71
359,65
360,68
361,63
362,66
363,59
364,63
365,65
366,59
367,75
368,67
369,68
370,67
371,57
372,68
373,67
374,67
375,64
376,65
377,70
378,67
379,76
380,62
381,63
382,72
383,63
384,59
385,64
386,58
387,74
388,58
389,69
390,62
391,65
392,64
393,68
394,58
395,66
396,60
397,70
398,75
399,64
400,65
401,67
402,75
403,57
404,69
405,68
406,69
407,66
408,71
409,63
410,60
411,56
412,57
413,70
414,67
415,60
416,63
417,61
418,64
419,61
420,64
421,72
422,69
423,71
424,63
425,67
426,71
427,70
428,69
429,57
430,71
431,59
432,61
433,64
434,68
435,62
436,68
437,68
438,62
439,68
440,71
441,71
442,68
443,68
444,74
445,66
446,71
447,67
448,61
449,63
450,67
451,69
452,63
453,67
454,63
455,67
456,70
457,68
458,63
459,65
460,59
461,67
462,67
463,64
464,61
465,75
466,74
467,72
468,66
469,71
470,68
471,73
472,67
473,61
474,68
475,71
476,70
477,59
478,79
479,58
480,62
481,66
482,57
483,69
484,67
485,59
486,64
487,69
488,70
489,57
490,65
491,58
492,65
493,65
494,63
495,63
496,63
497,65
498,73
499,61
500,65
501,67
502,60
503,57
504,68
505,68
506,72
507,69
508,63
509,63
510,64
511,65
512,76
513,68
514,66
515,67
516,70
517,69
518,62
519,67
520,58
521,67
522,58
523,69
524,72
525,65
526,64
527,63
528,65
529,62
530,63
